trade_id,timestamp,symbol,company,quantity,price,commission,trade_type,account_id
1,2023-05-01 10:15:27,AAPL,Apple Inc.,100,152.50,10.00,Buy,ACCT001
2,2023-05-02 14:37:14,GOOGL,Alphabet Inc.,50,2510.25,15.50,Buy,ACCT002
3,2023-05-03 09:54:09,AMZN,Amazon.com Inc.,200,3450.75,20.00,Sell,ACCT001
4,2023-05-04 11:21:55,TSLA,Tesla Inc.,75,890.50,12.50,Buy,ACCT003
5,2023-05-05 13:45:32,MSFT,Microsoft Corporation,150,298.30,9.75,Sell,ACCT002
6,2023-05-06 15:02:47,FB,Facebook Inc.,80,398.15,11.25,Buy,ACCT001
7,2023-05-07 09:28:36,JPM,JPMorgan Chase & Co.,90,149.75,8.00,Sell,ACCT002
8,2023-05-08 12:55:22,V,Visa Inc.,120,252.80,10.50,Buy,ACCT003
9,2023-05-09 14:43:58,BRK.B,Berkshire Hathaway Inc.,30,3995.80,17.50,Sell,ACCT002
10,2023-05-10 10:10:43,NFLX,Netflix Inc.,65,555.25,13.00,Buy,ACCT001
